code,name
AACA,Armenian Apostolic Church of America (Catholicosate of Cilicia)
AAM,Ambassadors Amish Mennonite
ABA,"American Baptist Association, The"
ABC,American Baptist Churches in the USA
ACC,Advent Christian Church
ACCA,Apostolic Christian Church of America
ACCNE,Apostolic Christian Church (Nazarene) - East Conference
ACCNW,Apostolic Christian Church (Nazarene) - West Conference
ACF,Agape Christian Fellowship
ACRO,American Carpatho-Russian Orthodox Diocese
ADC,Anabaptist Disciples of Christ
AFLC,Association of Free Lutheran Congregations
AGC,Assemblies of God
ALB,Albanian Orthodox Diocese of America
AMAN,Amana Church Society
AME,African Methodist Episcopal Church
AMEZ,African Methodist Episcopal Zion Church
AMNC,Appalachian Mennonite Church
AMSH,"Amish Groups, undifferentiated"
AOCA,"Antiochian Orthodox Christian Archdiocese of North America, The"
APCF,Apostolic Christian Faith
ARM,Armenian Church of North America (Catholicosate of Etchmiadzin)
BAM,Berea Amish-Mennonite
BAMC,Beachy Amish Mennonite Churches
BFC,Bible Fellowship Church
BFMC,Bethel Fellowship Mennonite Churches
BFUSA,Baha'i Faith USA
BIC,Believers in Christ
BMA,Biblical Mennonite Alliance
BPRT,Black Protestant
BRUD,"Bruderhof Communities, Inc."
BULG,"Bulgarian Eastern Orthodox Diocese of the USA, Canada and Australia"
BWC,"Bible Way Church of Our Lord Jesus Christ World Wide, Inc."
CACH,Christian Apostolic Church
CAF,"Church of Our Lord Jesus Christ of the Apostolic Faith, Inc."
CATH,Catholic
CBAM,Central Baptist Association Ministries
CBR,Church of the Brethren
CCC,"Congregational Christian Churches, Additional (not part of any national CCC body)"
CCCC,Christian Churches and Churches of Christ
CCDC,Christian Church (Disciples of Christ)
CCON,Conservative Congregational Christian Conference
CGAI,"Church of God (Anderson, Indiana)"
CGC,Church of God in Christ
CGCM,"Church of God in Christ, Mennonite"
CGCT,"Church of God (Cleveland, Tennessee)"
CGGC,Church of God General Conference
CGOC,Church of the Genuine Orthodox Christians
CHCH,Churches of Christ
CHCO,Christian Communities
CHGN,"Churches of God, General Conference"
CJUD,Conservative Judaism
CMA,"Christian and Missionary Alliance, The"
CMCO,Conservative Mennonite Conference
CMCYAC,Conservative Mennonite Churches of York and Adams Counties PA
CME,Christian Methodist Episcopal Church
COPT,Coptic Orthodox Church
CPCA,Cumberland Presbyterian Church in America
CRC,Christian Reformed Church in North America
CTH,Catholic Church
CUBC,Church of the United Brethren in Christ
CUMB,Cumberland Presbyterian Church
CVMC,Cumberland Valley Mennonite Church
CYFR,Conservative Yearly Meetings of Friends
DH,Dariusleut Hutterite
DUBC,Dunkard Brethren Church
EC,Episcopal Church
ECOV,"Evangelical Covenant Church, The"
ECTHCO,Ecumenical Catholic Communion
EFCI,Evangelical Friends Church International
ELCA,Evangelical Lutheran Church in America
ELS,Evangelical Lutheran Synod
EO,Eritrean Orthodox
EPMC,Eastern Pennsylvania Mennonite Church
ETHO,Ethiopian Orthodox
EVAN,Evangelical Protestant
EVCH,"Evangelical Church, The"
FEC,Fellowship of Evangelical Churches
FGB,Full Gospel Baptist Church Fellowship
FGC,Friends General Conference
FGCAI,Full Gospel Christian Assemblies International
FMC,Free Methodist Church of North America
FOUR,"Foursquare Gospel, International Church of the"
FRND,"Friends General Conference and Friends United Meeting, dually aligned meetings"
FUM,Friends United Meeting
FWB,National Association of Free Will Baptists
GAGB,General Association of General Baptists
GBB,German Baptist Brethren
GOP,Georgian Orthodox Parishes in the United States
GPCAC,German Apostolic/Christian Apostolic Churches
GRK,Greek Orthodox Archdiocese of America
HCC,Hutterite Christian Communities
HINT,Hindu Temples
HINYM,Hindu Yoga and Meditation
HMF,Haven Mennonite Fellowship
HMFL,Hope Mennonite Fellowship
HOC,Holy Orthodox Church in North America
HOOMC,Hoover Old Order Mennonite Church
HRC,Heritage Reformed Churches
IBAORB,Indian Bottom Association of Old Regular Baptists
ICB,Independent Conservative Brethren
ICC,International Churches of Christ
IJUD,Independent Judaism
ILUTHD,Independent Lutheran Diocese
IYMF,Independent Yearly Meetings of Friends
JW,Jehovah's Witnesses
KCUSA,Knanaya Churches in the USA
KMF,Keystone Mennonite Fellowship
LCMC,Lutheran Congregations in Mission for Christ
LCMS,Lutheran Church--Missouri Synod
LDS,"Church of Jesus Christ of Latter-day Saints, The"
LFMC,Little Flock Mennonite Churches
LHUTT,Lehrerleut Hutterite
MAHBUD,Mahayana Buddhist
MALA,Malankara Archdiocese of the Syrian Orthodox Church in North America
MAM,Maranatha Amish-Mennonite
